secFrom	langTo	prob	isTranslation
См. также	أنظر أيضا	0.9930691719055176	False
См. также	انظر أيضا	0.9928800463676453	True
См. также	انظر أيضًا	0.9782485961914062	False
См. также	اقرأ أيضا	0.9702664017677307	False
См. также	طالع أيضا	0.9629661440849304	False
См. также	وفيات	0.9609509706497192	False
См. также	مقالات ذات صلة	0.959513783454895	False
См. также	شاهد أيضا	0.9568015933036804	False
См. также	انظر أيضاً	0.9518381953239441	False
См. также	إنظر أيضا	0.9347882270812988	False
История	تاريخ	0.996340811252594	False
История	التاريخ	0.9937989115715027	True
История	نبذة تاريخية	0.9742338061332703	False
История	معلومات تاريخية	0.9730660915374756	False
История	تاريخها	0.9723905324935913	False
История	تاريخه	0.9664835929870605	False
История	لمحة تاريخية	0.9562749266624451	False
История	تاريخ المدينة	0.9560898542404175	False
История	تاريخ الشركة	0.9307735562324524	False
История	الإنجازات	0.9215046763420105	False
